time,value,rainfall
21367,38.00,0.01
21389,34.00,0.01
21409,37.00,0.01
21430,37.00,0.01
21450,35.00,0.01
21472,32.00,0.01
21492,35.00,0.01
21513,34.00,0.01
21534,31.00,0.01
21555,30.00,0.01
21575,29.00,0.01
21597,31.00,0.01
21617,29.00,0.01
21638,25.00,0.01
21659,25.00,0.01
21680,25.00,0.01
21700,21.00,0.01
21722,17.00,0.01
21742,14.00,0.01
21763,14.00,0.01
21783,10.00,0.01
21805,4.00,0.01
21824,2.00,0.01
21843,2.00,0.01
21864,2.00,0.01
21883,0.00,0.01
21903,0.00,0.01
21923,0.00,0.01
21943,2.00,0.01
21962,1.00,0.01
21982,2.00,0.01
22002,0.00,0.01
22022,0.00,0.01
22041,1.00,0.01
22062,2.00,0.01
22081,1.00,0.01
22100,0.00,0.01
22121,0.00,0.01
22140,1.00,0.01
22160,1.00,0.01
22179,2.00,0.01
22200,3.00,0.01
22219,1.00,0.01
22239,0.00,0.01
22259,2.00,0.01
22279,2.00,0.01
22298,2.00,0.01
22319,1.00,0.01
22338,0.00,0.01
22358,0.00,0.01
22377,4.00,0.01
22397,2.00,0.01
22417,0.00,0.01
22436,0.00,0.01
22457,0.00,0.01
22476,1.00,0.01
22496,3.00,0.01
22515,1.00,0.01
22536,3.00,0.01
22555,1.00,0.01
22575,1.00,0.01
22595,2.00,0.01
22615,1.00,0.01
22634,0.00,0.01
22654,0.00,0.01
22674,2.00,0.01
22693,1.00,0.01
22713,3.00,0.01
22733,1.00,0.01
22753,0.00,0.01
22772,0.00,0.01
22793,2.00,0.01
22812,2.00,0.01
22832,1.00,0.01
22852,0.00,0.01
22872,0.00,0.01
22891,0.00,0.01
22910,2.00,0.01
22931,3.00,0.01
22950,0.00,0.01
22970,0.00,0.01
22990,0.00,0.01
23010,1.00,0.01
23029,1.00,0.01
23049,1.00,0.01
23069,0.00,0.01
23089,0.00,0.01
23108,2.00,0.01
23129,2.00,0.01
23148,2.00,0.01
23168,1.00,0.01
23188,0.00,0.01
23207,0.00,0.01
23227,3.00,0.01
23246,3.00,0.01
23267,1.00,0.01
23286,1.00,0.01
23306,0.00,0.01
23326,1.00,0.01
23346,2.00,0.01
23365,1.00,0.01
23386,0.00,0.01
23405,0.00,0.01
23425,1.00,0.01
23444,2.00,0.01
23464,1.00,0.01
23484,2.00,0.01
23503,0.00,0.01
23524,0.00,0.01
23543,2.00,0.01
23563,1.00,0.01
